Unnamed: 0,Authorization Group,Bus. Transac. Type,Calculate Tax,Cash Flow-Relevant Doc.,Cleared Item,Clearing Date,Clearing Entry Date,Clearing Fiscal Year,Country Key,Currency,Debit/Credit ind,Transaction Value,Document Is Back-Posted,Exchange rate,Fiscal Year.1,Fiscal Year.2,Posting period.1,Ref. Doc. Line Item
90,60,RFBU,,False,Not Selected,,,,US,USD,S,66676.2,X,,2017.0,2018,12,3
91,60,RFBU,,False,Not Selected,,,,US,USD,S,86023.0,X,,2017.0,2018,12,2
92,60,RFBU,,False,Not Selected,,,,US,USD,S,2187218.99,X,,2017.0,2018,12,1
93,60,RFBU,,False,Not Selected,,,,US,USD,H,-656944.71,X,,2009.0,2018,12,1
94,60,RFBU,,False,Not Selected,,,,US,USD,H,-3765755.5,X,,2018.0,2018,12,2
95,60,RFBU,,False,Not Selected,,,,US,USD,S,135415.0,X,,2017.0,2018,12,6
96,60,RFBU,,False,Not Selected,,,,US,USD,S,51880.0,X,,2018.0,2018,12,1
97,60,RFBU,,False,Not Selected,,,,US,USD,H,-26176560.12,X,,2009.0,2018,12,1
98,60,RFBU,,False,Not Selected,,,,US,USD,S,83947.56,X,,2017.0,2018,12,5
99,60,RFBU,,False,Not Selected,,,,US,USD,H,-6808.93,X,,2018.0,2018,12,4
100,60,RFBU,,False,Not Selected,,,,US,USD,H,-123541.0,X,,2018.0,2018,12,1
101,60,RFBU,,False,Not Selected,,,,US,USD,H,-23603.0,X,,2018.0,2018,12,2
102,60,RFBU,,False,Not Selected,,,,US,USD,S,8657.45,X,,2018.0,2018,12,1
103,60,RFBU,,False,Not Selected,,,,US,USD,H,-198552.65,X,,2017.0,2018,12,3
104,60,RFBU,,False,Not Selected,,,,US,USD,S,27327487.0,X,,2009.0,2018,12,3
105,60,RFBU,,False,Not Selected,,,,US,USD,H,-334586.0,X,,2009.0,2018,12,4
106,60,RFBU,,False,Not Selected,,,,US,USD,H,-28410.88,X,,2017.0,2018,12,1
107,60,RFBU,,False,Not Selected,,,,US,USD,H,-25907574.0,X,,2009.0,2018,12,1
108,60,RFBU,,False,Not Selected,,,,US,USD,S,170500.39,X,,2018.0,2018,12,1
109,60,RFBU,,False,Not Selected,,,,US,USD,H,-10772.0,X,,2018.0,2018,12,3
110,60,RFBU,,False,Not Selected,,,,US,USD,S,347148.42,X,,2017.0,2018,12,1
111,60,RFBU,,False,Not Selected,,,,US,USD,H,-566.86,X,,2018.0,2018,12,8
112,60,RFBU,,False,Not Selected,,,,US,USD,S,106094.49,X,,2016.0,2018,12,1
113,60,RFBU,,False,Not Selected,,,,US,USD,H,-396992.61,X,,2018.0,2018,12,1
114,60,RFBU,,False,Not Selected,,,,US,USD,S,26311.0,X,,2018.0,2018,12,1
115,60,RFBU,,False,Not Selected,,,,US,USD,S,1020038.24,X,,2016.0,2018,12,1
116,60,RFBU,,False,Not Selected,,,,US,USD,S,9488.91,,,,2019,2,4
117,60,RFBU,,False,Not Selected,,,,US,USD,H,-95621.58,X,,2018.0,2018,12,5
118,60,RFBU,,False,Not Selected,,,,US,USD,S,204361.91,X,,2018.0,2018,12,1
119,60,RFBU,,False,Not Selected,,,,US,USD,H,-84091.0,X,,2017.0,2018,12,4
120,60,RFBU,,False,Not Selected,,,,US,USD,H,-6775.16,X,,2018.0,2018,12,3
121,60,RFBU,,False,Not Selected,,,,US,USD,H,-318693.0,X,,2009.0,2018,12,3
122,60,RFBU,,False,Not Selected,,,,US,USD,H,-1248.15,X,,2017.0,2018,12,3
123,60,RFBU,,False,Not Selected,,,,US,USD,S,56311.55,X,,2018.0,2018,12,1
124,60,RFBU,,False,Not Selected,,,,US,USD,H,-78620.08,X,,2018.0,2018,12,1
125,60,RFBU,,False,Not Selected,,,,US,USD,S,325626.79,X,,2009.0,2018,12,1
126,60,RFBU,,False,Not Selected,,,,US,USD,H,-305378.0,X,,2018.0,2018,12,1
127,60,RFBU,,False,Not Selected,,,,US,USD,S,239471.0,X,,2017.0,2018,12,2
128,60,RFBU,,False,Not Selected,,,,US,USD,H,-594662.9,X,,2008.0,2018,12,1
129,60,RFBU,,False,Not Selected,,,,US,USD,S,5547.0,X,,2009.0,2018,12,1
130,60,RFBU,,False,Not Selected,,,,US,USD,S,2294013.0,X,,2010.0,2018,12,1
131,60,RFBU,,False,Not Selected,,,,US,USD,S,5073810.0,X,,2010.0,2018,12,1
132,60,RFBU,,False,Not Selected,,,,US,USD,H,-3934093.85,X,,2011.0,2018,12,1
133,60,RFBU,,False,Not Selected,,,,US,USD,S,2485728.04,X,,2012.0,2018,12,1
134,60,RFBU,,False,Not Selected,,,,US,USD,H,-841015.36,X,,2013.0,2018,12,1
135,60,RFBU,,False,Not Selected,,,,US,USD,H,-3901134.0,X,,2014.0,2018,12,1
136,60,RFBU,,False,Not Selected,,,,US,USD,H,-3209539.0,X,,2016.0,2018,12,1
137,60,RFBU,,False,Not Selected,,,,US,USD,H,-2020257.0,X,,2016.0,2018,12,1
138,60,RFBU,,False,Not Selected,,,,US,USD,H,-2855902.0,X,,2017.0,2018,12,2
139,60,RFBU,,False,Not Selected,,,,US,USD,H,-662557.0,X,,2017.0,2018,12,2
140,60,RFBU,,False,Not Selected,,,,US,USD,H,-42406.25,X,,2017.0,2018,12,1
141,60,RFBU,,False,Not Selected,,,,US,USD,H,-140803.0,X,,2017.0,2018,12,1
142,60,RFBU,,False,Not Selected,,,,US,USD,H,-1853646.57,X,,2017.0,2018,12,1
143,60,RFBU,,False,Not Selected,,,,US,USD,H,-698894.43,X,,2017.0,2018,12,2
144,60,RFBU,,False,Not Selected,,,,US,USD,H,-312086.0,X,,2017.0,2018,12,1
145,60,RFBU,,False,Not Selected,,,,US,USD,S,11781.65,X,,2018.0,2018,12,1
146,60,RFBU,,False,Not Selected,,,,US,USD,H,-125080.66,X,,2018.0,2018,12,1
147,60,RFBU,,False,Not Selected,,,,US,USD,H,-592650.0,X,,2018.0,2018,12,2
148,60,RFBU,,False,Not Selected,,,,US,USD,H,-1644321.0,X,,2018.0,2018,12,2
149,60,RFBU,,False,Not Selected,,,,US,USD,H,-126502.23,X,,2018.0,2018,12,1
150,60,RFAD,,False,Selected,2019-02-01,2019-02-21,2019.0,US,USD,H,-367506.32,,,,2019,1,21
151,60,RFAD,,False,Selected,2019-02-01,2019-02-21,2019.0,US,USD,S,393653.23,,,,2019,2,21
152,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,800736.4,,,,2019,12,9
153,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-863173.19,,,,2019,1,9
154,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-910768.91,,,,2019,1,1
155,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,963354.0,,,,2019,12,1
156,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-1883875.0,,,,2019,1,118
157,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,1868307.0,,,,2019,12,118
158,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-657995.0,,,,2019,1,2
159,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,642626.74,,,,2019,12,2
160,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-4506682.76,,,,2019,1,7
161,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,4920853.0,,,,2019,12,7
162,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-30793.67,,,,2019,1,1
163,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,28241.02,,,,2019,12,1
